,text,lon,lat,n,p
183,"Xinyu, Jiangxi",114.85111327425395,27.847228216652503,126028.0,130.0
184,"Yichun, Jiangxi",114.97313992284113,28.307689514629384,427054.0,106.0
185,"Yingtan, Jiangxi",117.1066218643307,28.22567666265685,36136.0,18.0
188,"Changchun, Jilin",125.76896244058443,44.37787278659359,214755.0,45.0
198,"Dalian, Liaoning",122.21740062880404,39.60359554344585,124241.0,19.0
199,"Dandong, Liaoning",124.40796343885413,40.54784312105681,20.0,11.0
202,"Huludao, Liaoning",120.19445048113397,40.62603664632776,10886.0,12.0
203,"Jinzhou, Liaoning",121.61534765397572,41.471508390916235,21959.0,12.0
205,"Panjin, Liaoning",121.99748087118893,41.08276531481465,21316.0,11.0
206,"Shenyang, Liaoning",123.1375202685896,42.095916963103086,157835.0,28.0
209,"Baotou, Nei Mongol",110.21793232650198,41.645620003678296,15272.0,11.0
214,"Ordos, Nei Mongol",108.62523179210314,39.41176193542969,22918.0,11.0
222,"Wuzhong, Ningxia Hui",106.49641325082563,37.437125800579025,51915.0,28.0
223,"Yinchuan, Ningxia Hui",106.33987292309445,38.22061409128843,164175.0,36.0
235,"Hanzhong, Shaanxi",107.10320772702825,33.08855510581476,114433.0,26.0
239,"Xi'an, Shaanxi",108.79089299275113,34.110210178836724,472479.0,120.0
240,"Xianyang, Shaanxi",108.44931062878618,34.827947785212906,60271.0,17.0
243,"Binzhou, Shandong",117.86450534879758,37.57686348565125,116781.0,15.0
247,"Jinan, Shandong",117.08454113930819,36.73338141644096,259390.0,47.0
251,"Linyi, Shandong",118.27956636386823,35.31061211084213,489674.0,49.0
252,"Qingdao, Shandong",120.14495225583197,36.45650112082448,441959.0,60.0
253,"Rizhao, Shandong",119.13361249915091,35.584507017872106,89857.0,16.0
254,"Tai'an, Shandong",117.03460988703087,36.000453593798674,159783.0,35.0
260,"Shanghai, Shanghai",121.45456059046832,31.196604912572464,913471.0,320.0
273,"Chengdu, Sichuan",103.84542986979173,30.665439050446196,697668.0,144.0
275,"Deyang, Sichuan",104.42936105223177,31.13408460387664,78629.0,18.0
283,"Mianyang, Sichuan",104.70256642080803,31.84850172921269,127648.0,22.0
285,"Neijiang, Sichuan",104.88550117655275,29.613652734789575,118644.0,22.0
289,"Suining, Sichuan",105.47038822632508,30.63146500855519,26029.0,17.0
294,"Tianjin, Tianjin",117.33300172157277,39.310401222663316,672104.0,136.0
323,"Kunming, Yunnan",102.87508741366517,25.387108106446995,278590.0,53.0
338,"Ningbo, Zhejiang",121.47523979910282,29.709635305002042,531310.0,157.0
341,"Taizhou, Zhejiang",121.09912211315522,28.776091563702597,537297.0,146.0
